year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2016,"Architects, except naval","171010","Computer and Information Sciences and Support Services","11",109525.0,12371.7,4414,1071.15,0.763052
2016,"Cashiers","412010","Computer and Information Sciences and Support Services","11",25501.6,7056.8,4386,1253.97,0.468673
2016,"Other teachers & instructors","253000","Computer and Information Sciences and Support Services","11",50574.1,9080.78,4379,1039.92,0.340073
2016,"Financial analysts","132051","Computer and Information Sciences and Support Services","11",98282.2,27526.5,4377,1650.98,0.656115
2016,"Laborers & freight, stock, & material movers, hand","537062","Computer and Information Sciences and Support Services","11",30641.2,7117.21,4279,1372.05,0.909406
2016,"Food service managers","119051","Computer and Information Sciences and Support Services","11",59799.4,13012.1,4267,1395.71,0.544344
2016,"Engineering technicians, except drafters","173020","Computer and Information Sciences and Support Services","11",64719.6,10220.4,4258,1266.79,1.50472
2016,"Computer & information research scientists","151111","Computer and Information Sciences and Support Services","11",119497.0,24691.1,4257,1078.57,6.94144
2016,"Office clerks, general","439061","Computer and Information Sciences and Support Services","11",35821.4,6641.91,4163,1417.59,0.395825
2016,"Civil engineers","172051","Computer and Information Sciences and Support Services","11",110983.0,45048.4,3982,1217.21,0.363446
2016,"Medical & health services managers","119111","Computer and Information Sciences and Support Services","11",98296.5,19608.2,3901,1066.41,0.252377
2016,"Firstline supervisors of production & operating workers","511011","Computer and Information Sciences and Support Services","11",80010.5,19527.5,3846,1445.58,0.693865
2016,"Waiters & waitresses","353031","Computer and Information Sciences and Support Services","11",24492.2,5311.92,3838,1298.56,0.411643
2016,"Physicians & surgeons","291060","Computer and Information Sciences and Support Services","11",196298.0,49427.4,3808,1167.2,0.117631
2016,"Insurance sales agents","413021","Computer and Information Sciences and Support Services","11",73726.6,15940.6,3740,1182.12,0.439367
2016,"Police officers","333050","Computer and Information Sciences and Support Services","11",63247.9,5537.68,3734,1149.88,0.350989
2016,"Personal financial advisors","132052","Computer and Information Sciences and Support Services","11",123327.0,33309.3,3679,1028.16,0.35748
2016,"Janitors & building cleaners","37201X","Computer and Information Sciences and Support Services","11",22005.9,5391.15,3670,1207.42,0.727921
2016,"Electricians","472111","Computer and Information Sciences and Support Services","11",35282.3,11956.1,3563,1504.53,1.75684
2016,"Clergy","212011","Computer and Information Sciences and Support Services","11",48282.3,9208.6,3521,1389.55,0.292214
2016,"Real estate brokers & sales agents","419020","Computer and Information Sciences and Support Services","11",95276.9,32351.1,3479,1139.85,0.318456
2016,"Industrial engineers, including health & safety","172110","Computer and Information Sciences and Support Services","11",91916.4,6941.66,3433,1101.46,0.608776
2016,"Aircraft pilots & flight engineers","532010","Computer and Information Sciences and Support Services","11",129575.0,33224.6,3402,1134.01,0.695114
2016,"Cooks","352010","Computer and Information Sciences and Support Services","11",18001.2,3536.36,3329,1125.66,0.816753
2016,"Teacher assistants","259041","Computer and Information Sciences and Support Services","11",14941.6,2997.61,3238,994.53,0.342078
